Removed Pin From Net: NetName=NetC14_1 Pin=J3-1
Removed Pin From Net: NetName=GND Pin=J3-2
Removed Pin From Net: NetName=GND Pin=J3-3
Removed Pin From Net: NetName=NetC4_1 Pin=R6-1
Removed Pin From Net: NetName=Vref Pin=R25-1
Removed Pin From Net: NetName=Amplifier IN-Audio Pin=R25-3
Removed Pin From Net: NetName=Amplifier IN-Mic Pin=U2-1
Removed Pin From Net: NetName=Amplifier IN-Mic Pin=U2-2
Removed Pin From Net: NetName=NetR5_1 Pin=U3-1
Removed Pin From Net: NetName=NetR5_1 Pin=U3-2
Removed Pin From Net: NetName=NetC7_2 Pin=U3-3
Removed Pin From Net: NetName=Amplifier IN-Audio Pin=U7-7
Removed Pin From Net: NetName=NetC15_1 Pin=U8-8
Change Component Footprint: Designator=J3 Old Footprint=CUI_MJ-3502N New Footprint=CUI_SJ2-3574A-SMT-TR
Change Component Footprint: Designator=R25 Old Footprint=FP-3296W-MFG New Footprint=FP-CF18-MFG
Change Component Comment : Designator=R25 Old Comment=3296W-1-103LF New Comment=CF18JT10K0
Change Component Comment : Designator=J3 Old Comment=Speaker-OUT New Comment=SJ2-3574A-SMT-TR
Change Component Designator: OldDesignator=R27 NewDesignator=R35
Change Component Designator: OldDesignator=R28 NewDesignator=R36
Change Component Designator: OldDesignator=R29 NewDesignator=R37
Change Component Designator: OldDesignator=R30 NewDesignator=R38
Change Component Designator: OldDesignator=U2 NewDesignator=U3
Change Component Designator: OldDesignator=U3 NewDesignator=U2
Change Managed Component Library Link : Designator=R25 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9CC99A9C-0E41-4CBF-A7EA-3361F1ADF078 New ItemGUID=BC08C33D-CB15-43BD-82C1-FB5E03A949C2 Old RevisionGUID=8F8C300F-8FA2-4208-9E10-4862A509221A New RevisionGUID=338F15C8-488B-4878-976E-509FD792CAA9
Change component parameters: Designator = "J3" ("J3"); Footprint = "CUI_MJ-3502N"; UniqueID = "\MFPKUTYW" ("\MFPKUTYW")
Change component parameters (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/SJ2-3574A-SMT-TR/CUI+Devices/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CUI_purchase_URL"; Value = "https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj2-357x-smt-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "CUI Devices"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "SJ2-3574A-SMT-TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/SJ2-3574A-SMT-TR/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/SJ2-3574A-SMT-TR/CUI+Devices/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R25" ("R25"); Footprint = "FP-3296W-MFG"; UniqueID = "\DWVDRPOP" ("\DWVDRPOP")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Res"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.seielect.com/Catalog/SEI-CF_CFM.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Carbon Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Through-Hole Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "RES 10K OHM 1/8W 5% CF AXIAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "RESAD656W65L360D200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics"; VariantName = "[No Variations]"
